index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
201,ABBV,AbbVie Inc.,"Apr 29, 2022, 3 AMEDT",3.14,3.16,0.57
202,ABBV,AbbVie Inc.,"Feb 02, 2022, 2 AMEST",3.29,3.31,0.73
203,ABBV,AbbVie Inc.,"Oct 29, 2021, 3 AMEDT",3.22,3.33,3.32
204,ABBV,AbbVie Inc.,"Jul 30, 2021, 3 AMEDT",3.09,3.11,0.65
205,ABBV,AbbVie Inc.,"Apr 30, 2021, 3 AMEDT",2.83,2.95,4.28
206,ABBV,AbbVie Inc.,"Feb 03, 2021, 2 AMEST",2.85,2.92,2.42
207,ABBV,AbbVie Inc.,"Oct 30, 2020, 3 AMEDT",2.77,2.83,2.35
208,ABBV,AbbVie Inc.,"Jul 31, 2020, 3 AMEDT",2.19,2.34,6.9
209,ABBV,AbbVie Inc.,"May 01, 2020, 3 AMEDT",2.25,2.42,7.75
210,ABBV,AbbVie Inc.,"Feb 07, 2020, 2 AMEST",2.19,2.21,0.82
211,ABBV,AbbVie Inc.,"Nov 01, 2019, 3 AMEDT",2.3,2.33,1.44
212,ABBV,AbbVie Inc.,"Jul 26, 2019, 3 AMEDT",2.21,2.26,2.22
213,ABBV,AbbVie Inc.,"Apr 25, 2019, 3 AMEDT",2.05,2.14,4.19
214,ABBV,AbbVie Inc.,"Jan 25, 2019, 2 AMEST",1.94,1.9,-1.96
215,ABBV,AbbVie Inc.,"Nov 02, 2018, 4 AMEDT",2.02,2.14,6.2
216,ABBV,AbbVie Inc.,"Jul 27, 2018, 3 AMEDT",1.97,2.0,1.37
217,ABBV,AbbVie Inc.,"Apr 26, 2018, 3 AMEDT",1.79,1.87,4.29
218,ABBV,AbbVie Inc.,"Jan 26, 2018, 2 AMEST",1.44,1.48,2.92
219,ABBV,AbbVie Inc.,"Oct 27, 2017, 4 AMEDT",1.39,1.41,1.81
220,ABBV,AbbVie Inc.,"Jul 28, 2017, 3 AMEDT",1.4,1.42,1.5
221,ABBV,AbbVie Inc.,"Apr 27, 2017, 3 AMEDT",1.26,1.28,1.43
222,ABBV,AbbVie Inc.,"Jan 27, 2017, 2 AMEST",1.2,1.2,0.42
223,ABBV,AbbVie Inc.,"Oct 28, 2016, 3 AMEDT",1.2,1.21,1.09
224,ABBV,AbbVie Inc.,"Jul 29, 2016, 3 AMEDT",1.2,1.26,5.0
225,ABBV,AbbVie Inc.,"Apr 28, 2016, 3 AMEDT",1.13,1.15,1.5
226,ABBV,AbbVie Inc.,"Jan 29, 2016, 2 AMEST",1.12,1.13,0.8
227,ABBV,AbbVie Inc.,"Oct 30, 2015, 2 AMEDT",1.08,1.13,4.73
228,ABBV,AbbVie Inc.,"Jul 24, 2015, 3 AMEDT",1.06,1.08,1.98
229,ABBV,AbbVie Inc.,"Apr 23, 2015, 3 AMEDT",0.85,0.94,10.2
230,ABBV,AbbVie Inc.,"Jan 30, 2015, 2 AMEST",0.86,0.89,3.97
231,ABBV,AbbVie Inc.,"Oct 31, 2014, 3 AMEDT",0.77,0.89,15.14
232,ABBV,AbbVie Inc.,"Jul 25, 2014, 12 AMEDT",0.76,0.82,8.18
233,ABBV,AbbVie Inc.,"Apr 25, 2014, 12 AMEDT",0.68,0.71,4.41
234,ABBV,AbbVie Inc.,"Jan 31, 2014, 12 AMEST",0.82,0.82,-0.46
235,ABBV,AbbVie Inc.,"Oct 25, 2013, 12 AMEDT",0.78,0.82,5.67
236,ABBV,AbbVie Inc.,"Jul 26, 2013, 12 AMEDT",0.79,0.82,4.16
237,ABBV,AbbVie Inc.,"Apr 26, 2013, 12 AMEDT",0.67,0.68,2.1
238,ABBV,AbbVie Inc.,"Jan 23, 2013, 12 AMEST",0.99,,
239,ABMD,"Abiomed, Inc.","Aug 04, 2022, 3 AMEDT",1.06,1.25,18.37
240,ABMD,"Abiomed, Inc.","Apr 28, 2022, 3 AMEDT",1.09,1.16,6.72
241,ABMD,"Abiomed, Inc.","Feb 03, 2022, 2 AMEST",0.95,1.13,18.95
242,ABMD,"Abiomed, Inc.","Oct 28, 2021, 3 AMEDT",0.97,1.03,5.86
243,ABMD,"Abiomed, Inc.","Aug 04, 2021, 12 PMEDT",1.05,1.1,4.36
244,ABMD,"Abiomed, Inc.","Apr 29, 2021, 3 AMEDT",1.1,1.24,13.14
245,ABMD,"Abiomed, Inc.","Jan 28, 2021, 2 AMEST",1.13,1.35,19.57
246,ABMD,"Abiomed, Inc.","Oct 29, 2020, 3 AMEDT",0.92,1.36,47.67
247,ABMD,"Abiomed, Inc.","Aug 06, 2020, 3 AMEDT",0.29,0.98,233.33
248,ABMD,"Abiomed, Inc.","Apr 30, 2020, 3 AMEDT",0.94,0.7,-25.21
249,ABMD,"Abiomed, Inc.","Feb 06, 2020, 2 AMEST",1.09,1.51,38.91
250,ABMD,"Abiomed, Inc.","Oct 31, 2019, 3 AMEDT",0.93,0.28,-69.86
251,ABMD,"Abiomed, Inc.","Aug 01, 2019, 3 AMEDT",0.97,1.93,99.17
252,ABMD,"Abiomed, Inc.","May 02, 2019, 3 AMEDT",1.08,1.09,0.93
253,ABMD,"Abiomed, Inc.","Jan 31, 2019, 2 AMEST",0.94,0.97,2.97
254,ABMD,"Abiomed, Inc.","Nov 01, 2018, 3 AMEDT",0.74,1.09,46.7
255,ABMD,"Abiomed, Inc.","Jul 26, 2018, 3 AMEDT",0.82,1.95,138.97
256,ABMD,"Abiomed, Inc.","May 03, 2018, 3 AMEDT",0.64,0.8,24.61
257,ABMD,"Abiomed, Inc.","Feb 01, 2018, 2 AMEST",0.51,0.29,-42.57
258,ABMD,"Abiomed, Inc.","Oct 26, 2017, 3 AMEDT",0.38,0.54,42.86
259,ABMD,"Abiomed, Inc.","Jul 27, 2017, 3 AMEDT",0.42,0.82,95.7
260,ABMD,"Abiomed, Inc.","May 04, 2017, 3 AMEDT",0.35,0.33,-5.17
261,ABMD,"Abiomed, Inc.","Jan 26, 2017, 2 AMEST",0.29,0.34,17.24
262,ABMD,"Abiomed, Inc.","Oct 27, 2016, 3 AMEDT",0.24,0.2,-18.03
